Name,List,Description,Ingredient Number,Ingredient,Quantity,Quantity Unit,Garnish
Pisco sour,IBA Contemporary Classics,"The Peruvian pisco sour uses Peruvian pisco as the base liquor and adds freshly squeezed lime juice, simple syrup, ice, egg white, and Angostura bitters. The Chilean version is similar, but uses Chilean pisco and pica lime, and excludes the bitters and egg white. Other variants of the cocktail include those created with fruits like pineapple or plants such as coca leaves.",,,,,
,,,,,,,
Sea breeze,IBA Contemporary Classics,"Made with vodka, cranberry juice, and grapefruit juice.",,,,,
,,,,,,,
Sex on the beach,IBA Contemporary Classics,"Made with vodka, peach schnapps, orange juice and cranberry juice.",,,,,
,,,,,,,
Singapore sling,IBA Contemporary Classics,A gin-based sling cocktail from Singapore.,,,,,
,,,,,,,
Tequila sunrise,IBA Contemporary Classics,"Made with tequila, orange juice, and grenadine syrup.",,,,,
,,,,,,,
Vesper,IBA Contemporary Classics,"Originally made of gin, vodka, and Kina Lillet. The formulations of its ingredients have changed since its original publication in print, and so some modern bartenders have created new versions which attempt to more closely mimic the original taste.",,,,,
,,,,,,,
Zombie,IBA Contemporary Classics,"Made with fruit juices, liqueurs, and various rums.",,,,,
,,,,,,,
,,,,,,,
Barracuda,IBA New Era,"Made with gold rum, Galliano liqueur, pineapple juice, fresh lime juice and top with Prosecco.",,,,,
,,,,,,,
Bee's knees,IBA New Era,"Made with gin, fresh lemon juice, and honey. It is served shaken and chilled, often with a lemon twist.",,,,,
,,,,,,,
Bramble,IBA New Era,"Created by Dick Bradsell in 1980s London, England. Best described as a spring cocktail, the Bramble brings together dry gin, lemon juice, sugar syrup, crème de mûre, and crushed ice.",,,,,
,,,,,,,
Canchanchara,IBA New Era,"Made with Cuban aguardiente, honey, and fresh lime juice.",,,,,
,,,,,,,
Dark 'n' stormy,IBA New Era,"Made with Goslings Black Seal Rum (the ""dark"") and ginger beer (the ""stormy"") served over ice and garnished with a slice of lime.",,,,,
,,,,,,,
Espresso martini,IBA New Era,"Made with vodka, espresso coffee, coffee liqueur, and sugar syrup. It is not a true martini as it contains neither gin nor vermouth, but is one of many drinks that incorporate the term into their names.",,,,,
,,,,,,,
Fernandito,IBA New Era,"A long drink of Argentine origin consisting of the Italian amaro liqueur fernet and cola, served over ice.",,,,,
,,,,,,,
French martini,IBA New Era,"The key ingredient that makes a martini ""French"" is Chambord, a black raspberry liqueur that has been produced in France since 1685.",,,,,
,,,,,,,
Illegal,IBA New Era,"Made with mezcal, Jamaica overproof white rum, Falernum, maraschino liqueur, lime juice, simple syrup, and optionally a few drops of egg white.",,,,,
,,,,,,,
Lemon drop martini,IBA New Era,"A vodka-based cocktail that is prepared with the addition of lemon juice, triple sec and simple syrup.",,,,,
,,,,,,,
Naked and famous,IBA New Era,"Made with equal parts mezcal, yellow Chartreuse, Aperol, and fresh lime juice.",,,,,
,,,,,,,
New York sour,IBA New Era,"Made with whiskey (rye or bourbon), simple syrup, lemon juice, egg white, and red wine (Shiraz or Malbec).",,,,,
,,,,,,,
Old Cuban,IBA New Era,"Created in 2001 by mixologist Audrey Saunders, it is made with aged rum, fresh lime juice, simple syrup, Angostura bitters, mint leaves, and topped with champagne brut.",,,,,
,,,,,,,
Paloma,IBA New Era,"Most commonly prepared by mixing tequila, lime juice, and a grapefruit-flavored soda such as Fresca, Squirt, or Jarritos and served on the rocks with a lime wedge. Adding salt to the rim of the glass is also an option.",,,,,
,,,,,,,
Paper plane,IBA New Era,"Made with equal parts bourbon, Aperol, the amaro Amaro Nonino, and lemon juice.",,,,,
,,,,,,,
Penicillin,IBA New Era,"Made with whisky, ginger, and fresh lemon juice.",,,,,
,,,,,,,
Russian spring punch,IBA New Era,"Made with vodka, crème de cassis, sugar syrup, and lemon juice.",,,,,
,,,,,,,
Southside,IBA New Era,"Made with gin, lime juice, simple syrup and mint (also known as ""South Side""). Its origins are subject to speculation. It has been proposed that it gets its name from either the South Side district of the city of Chicago, Illinois, or from the Southside Sportsmen's Club on Long Island. The drink may have been the preferred beverage of Al Capone, whose gang dominated Chicago's South Side. The gin imported by Capone's rivals on the North Side of Chicago was smooth, and usually consumed with ginger ale. However, the gin consumed by Al Capone's gang had a rougher finish, and required more sweeteners to make it palatable. Thus the South Side was born.",,,,,
,,,,,,,
